CG_ID,label,description
14107,MD,Not Specified
14108,MD,Not Specified
14109,RO,Read Only
14110,MD,Attending
14111,Res,Resident/Fellow/PA/NP
14112,MD,Not Specified
14113,MD,Attending
14114,PA,Resident/Fellow/PA/NP
14115,H,Not Specified
14116,MD,Attending
14117,RO,Read Only
14118,MDs,Not Specified
14119,RO,Read Only
14120,RO,Read Only
14121,St,Not Specified
14122,RO,Read Only
14123,MDs,Resident/Fellow/PA/NP
14124,RO,Read Only
14125,RO,Read Only
14126,Res,Resident/Fellow/PA/NP
14127,Res,Resident/Fellow/PA/NP
14128,MD,Resident/Fellow/PA/NP
14129,RO,Read Only
14130,Res,Resident/Fellow/PA/NP
14131,RO,Read Only
14132,MD,Not Specified
14133,RN,Not Specified
14134,RO,Read Only
14135,MD,Resident/Fellow/PA/NP
14136,MD,Read Only
14137,IMD,IMD
14138,MS,Not Specified
14139,UA,Not Specified
14140,MD,Not Specified
14141,RO,Read Only
14142,MDs,Not Specified
14143,MD,Resident/Fellow/PA/NP
14144,MD,Not Specified
14145,PA,Not Specified
14146,MD,Read Only
14147,RO,Read Only
14148,RO,Read Only
14149,MD,Not Specified
14150,MD,Not Specified
14151,RN,RN
14152,MD,Not Specified
14153,RO,Read Only
14154,MDs,Resident/Fellow/PA/NP
14155,RO,Read Only
14156,DI,Dietitian
14157,MD,Not Specified
14158,RO,Read Only
14159,MD,Read Only
14160,RN,Not Specified
14161,RO,Read Only
14162,CoOpSt,Not Specified
14163,PCA,Not Specified
14164,UCO,UCO
14165,RN,Not Specified
14166,RN,Not Specified
14167,RRT,Not Specified
14168,MD,Resident/Fellow/PA/NP
14169,RRT,Respiratory
14170,MDs,Not Specified
14171,MD,Resident/Fellow/PA/NP
14172,RO,Read Only
14173,Res,Resident/Fellow/PA/NP
14174,Res,Resident/Fellow/PA/NP
14175,MD,Not Specified
14176,RO,Read Only
14177,MD,Not Specified
14178,RO,Read Only
14179,MD,Not Specified
14180,MDs,Resident/Fellow/PA/NP
14181,RO,Read Only
14182,RN,RN
14183,RPh,Not Specified
14184,NP,Resident/Fellow/PA/NP
14185,MD,Not Specified
14186,RN,Not Specified
14187,RN,Read Only
14188,MS,Not Specified
14189,RO,Read Only
14190,MD,Not Specified
14191,RN,Not Specified
14192,MD,Resident/Fellow/PA/NP
14193,RO,Read Only
14194,CM,Case Manager
14195,Rehab,Rehabilitation
14196,MD,Not Specified
14197,SW,Social Worker
14198,Res,Resident/Fellow/PA/NP
14199,RO,Read Only
14200,MD,Read Only
14201,CRT,Not Specified
14202,RT,Respiratory
14203,RO,Read Only
14204,RN,Not Specified
14205,RN,Not Specified
14206,RN,RN
14207,RO,Read Only
14208,RO,Read Only
14209,CoWkr,Not Specified
14210,RO,Read Only
14211,RRT,Respiratory
14212,RN,RN
14213,RN,RN
14214,RN,RN
14215,SN,Not Specified
14216,Res,Resident/Fellow/PA/NP
14217,Res,Resident/Fellow/PA/NP
14218,RO,Read Only
14219,MD,Read Only
14220,RO,Read Only
14221,MD,Attending
14222,RN,RN
14223,MedSt,Not Specified
14224,MD,Attending
14225,Res,Resident/Fellow/PA/NP
14226,Res,Resident/Fellow/PA/NP
14227,RO,Read Only
14228,RN,RN
14229,RO,Read Only
14230,RO,Read Only
14231,RO,Read Only
14232,RO,Read Only
14233,RO,Read Only
14234,UA,UCO
14235,Medst,Not Specified
14236,RRT,Not Specified
14237,MD,Read Only
14238,MD,Not Specified
14239,MD,Not Specified
14240,MD,Resident/Fellow/PA/NP
14241,RN,Not Specified
14242,MDs,Read Only
14243,RO,Read Only
14244,RO,Read Only
14245,MD,Not Specified
14246,RN,Not Specified
14247,RO,Read Only
14248,Rehab,Rehabilitation
14249,MD,Not Specified
14250,RO,Read Only
14251,Res,Resident/Fellow/PA/NP
14252,MDs,Attending
14253,RO,Read Only
14254,MSIV,Not Specified
14255,MD,Not Specified
14256,MD,Not Specified
14257,RO,Read Only
14258,RO,Read Only
14259,MDs,Not Specified
14260,MD,Not Specified
14261,SW,Social Worker
14262,STD,Not Specified
14263,RO,Read Only
14264,RN,Not Specified
14265,NP,RN
14266,RN,Not Specified
14267,RO,Read Only
14268,MD,Read Only
14269,MDs,Resident/Fellow/PA/NP
14270,SNP,Not Specified
14271,MD,Read Only
14272,MD,Not Specified
14273,MD,Not Specified
14274,RN,Not Specified
14275,MD,Not Specified
14276,MD,Not Specified
14277,RN,Not Specified
14278,MD,Not Specified
14279,MD,Not Specified
14280,MD,Not Specified
14281,ajm,Resident/Fellow/PA/NP
14282,RN,Not Specified
14283,OTR/L,Not Specified
14284,RN,RN
14285,RO,Read Only
14286,PCT,Not Specified
14287,MD,Resident/Fellow/PA/NP
14288,RO,Read Only
14289,RPh,Not Specified
14290,DI,Dietitian
14291,MD,Not Specified
14292,RO,Read Only
14293,LICSW,Not Specified
14294,MD,Not Specified
14295,RN,Not Specified
14296,RN,Not Specified
14297,MD,Not Specified
14298,rn,Not Specified
14299,PCT,Not Specified
14300,LICSW,Not Specified
14301,RO,Read Only
14302,RN,Not Specified
14303,RO,Read Only
14304,RO,Read Only
14305,MD,Resident/Fellow/PA/NP
14306,Stu,Not Specified
14307,Res,Resident/Fellow/PA/NP
14308,MedStu,Read Only
14309,MD,Not Specified
14310,RO,Read Only
14311,MD,Not Specified
14312,MD,Not Specified
14313,UCO,Not Specified
14314,Res,Resident/Fellow/PA/NP
14315,RD,Dietitian
14316,Rehab,Rehabilitation
14317,RN,RN
14318,MD,Not Specified
14319,MedStu,Not Specified
14320,RO,Read Only
14321,RO,Read Only
14322,RN,Not Specified
14323,MD,Read Only
14324,CoWkr,Not Specified
14325,RN,Not Specified
14326,RO,Read Only
14327,MDs,Read Only
14328,RO,Read Only
14329,RRT,Not Specified
14330,MS,Resident/Fellow/PA/NP
14331,MDs,Resident/Fellow/PA/NP
14332,RNs,RN
14333,MD,Not Specified
14334,RT,Respiratory
14335,Rehab,Rehabilitation
14336,RO,Read Only
14337,MedStu,Not Specified
14338,MDs,Read Only
14339,RPh,Not Specified
14340,MD,Not Specified
14341,MS,Not Specified
14342,Medst,Not Specified
14343,MD,Not Specified
14344,RO,Read Only
14345,Rn,RN
14346,MD,Not Specified
14347,MS,Not Specified
14348,RO,Read Only
14349,RO,Read Only
14350,RO,Read Only
14351,MS,Not Specified
14352,MD,Not Specified
14353,DI,Dietitian
14354,MD,Resident/Fellow/PA/NP
14355,RO,Read Only
14356,MD,Resident/Fellow/PA/NP
14357,RN,RN
14358,MD,Not Specified
14359,Res,Resident/Fellow/PA/NP
14360,MD,Not Specified
14361,MD,Not Specified
14362,MSIV,Not Specified
14363,MD,Not Specified
14364,RO,Read Only
14365,MD,Resident/Fellow/PA/NP
14366,SRT,Not Specified
14367,RN,Not Specified
14368,RO,Read Only
14369,RO,Read Only
14370,RO,Read Only
14371,SRT,Respiratory
14372,R.Ph,Not Specified
14373,RO,Read Only
14374,MD,Resident/Fellow/PA/NP
14375,RN,Not Specified
14376,RN,Not Specified
14377,RN,Not Specified
14378,RO,Read Only
14379,RN,RN
14380,RO,Read Only
14381,RRT,Respiratory
14382,PhStud,Not Specified
14383,MD,Not Specified
14384,MD,Resident/Fellow/PA/NP
14385,MD,Not Specified
14386,MD,Not Specified
14387,RN,RN
14388,Res,Resident/Fellow/PA/NP
14389,MD,Not Specified
14390,NSV,Not Specified
14391,RO,Read Only
14392,RO,Read Only
14393,MD,Attending
14394,RO,Read Only
14395,RO,Read Only
14396,RO,Read Only
14397,RO,Read Only
14398,RO,Read Only
14399,RN,Not Specified
14400,RO,Read Only
14401,RO,Read Only
14402,RO,Read Only
14403,MD,Not Specified
14404,MD,Not Specified
14405,MSI,Not Specified
14406,RO,Read Only
14407,RO,Read Only
14408,AL,Respiratory
14409,MD,Not Specified
14410,RO,Read Only
14411,RN,RN
14412,MD,Not Specified
14413,RN,Not Specified
14414,MD,Resident/Fellow/PA/NP
14415,RNC,Read Only
14416,RO,Read Only
14417,MDs,Resident/Fellow/PA/NP
14418,RN,RN
14419,RN,RN
14420,STD,Not Specified
14421,RN,Not Specified
14422,RN,Not Specified
14423,RO,Read Only
14424,MD,Not Specified
14425,RN,Read Only
14426,RN,Not Specified
14427,RN,RN
14428,RO,Read Only
14429,RN,Not Specified
14430,RO,Read Only
14431,RN,RN
14432,RN,Not Specified
14433,RN,Not Specified
14434,RO,Read Only
14435,RN,RN
14436,RN,Not Specified
14437,RRT,Not Specified
14438,UA,UCO
14439,RN,Not Specified
14440,RN,Read Only
14441,RN,RN
14442,RN,RN
14443,RN,Not Specified
14444,MDs,Resident/Fellow/PA/NP
14445,RO,Read Only
14446,MD,Attending
14447,MD,Attending
14448,MEDST,Not Specified
14449,MDs,Resident/Fellow/PA/NP
14450,RO,Read Only
14451,MD,Not Specified
14452,MD,Not Specified
14453,MD,Not Specified
14454,RPh,Read Only
14455,MD,Not Specified
14456,Res,Resident/Fellow/PA/NP
14457,RPh,Not Specified
14458,MD,Resident/Fellow/PA/NP
14459,MD,Not Specified
14460,RO,Read Only
14461,PCA,Not Specified
14462,MD,Resident/Fellow/PA/NP
14463,RO,Read Only
14464,RO,Read Only
14465,MS,Resident/Fellow/PA/NP
14466,MD,Not Specified
14467,STD,Read Only
14468,RO,Read Only
14469,MD,Not Specified
14470,RN,Not Specified
14471,RO,Read Only
14472,RO,Read Only
14473,MDs,Resident/Fellow/PA/NP
14474,RO,Read Only
14475,MD,Read Only
14476,MD,Not Specified
14477,ms,Resident/Fellow/PA/NP
14478,Res,Resident/Fellow/PA/NP
14479,MD,Not Specified
14480,MD,Not Specified
14481,MedStu,Not Specified
14482,Res,Resident/Fellow/PA/NP
14483,RN,RN
14484,R.Ph,Pharmacist
14485,Res,Read Only
14486,MDs,Resident/Fellow/PA/NP
14487,RO,Read Only
14488,RO,Read Only
14489,RN,Not Specified
14490,MD,Not Specified
14491,MedSt,Not Specified
14492,MD,Not Specified
14493,RO,Read Only
14494,MD,Resident/Fellow/PA/NP
14495,MD,Attending
14496,RO,Read Only
14497,RPH,Pharmacist
14498,RO,Read Only
14499,NP,Read Only
14500,RO,Read Only
14501,RO,Read Only
14502,RO,Read Only
14503,MD,Not Specified
14504,RO,Read Only
14505,Res,Resident/Fellow/PA/NP
14506,MD,Not Specified
14507,RO,Read Only
14508,MDs,Resident/Fellow/PA/NP
14509,RO,Read Only
14510,MD,Attending
14511,DI,Dietitian
14512,MD,Not Specified
14513,RO,Read Only
14514,Res,Resident/Fellow/PA/NP
14515,MD,Not Specified
14516,RO,Read Only
14517,MD,Resident/Fellow/PA/NP
14518,RN,RN
14519,PCA,Not Specified
14520,RO,Read Only
14521,MDs,Resident/Fellow/PA/NP
14522,RO,Read Only
14523,DI,Not Specified
14524,MD,Resident/Fellow/PA/NP
14525,RO,Read Only
14526,MD,Not Specified
14527,RO,Read Only
14528,Res,Resident/Fellow/PA/NP
14529,Res,Resident/Fellow/PA/NP
14530,Rehab,Rehabilitation
14531,MDs,Read Only
14532,RO,Read Only
14533,Res,Resident/Fellow/PA/NP
14534,MS,Not Specified
14535,RPh,Not Specified
14536,MD,Not Specified
14537,Rehab,Rehabilitation
14538,RO,Read Only
14539,MD,Not Specified
14540,UA,Not Specified
14541,Res,Resident/Fellow/PA/NP
14542,RN,RN
14543,MD,Attending
14544,Res,Resident/Fellow/PA/NP
14545,MD,Not Specified
14546,Res,Resident/Fellow/PA/NP
14547,UCO,UCO
14548,RN,RN
14549,RPH,Pharmacist
14550,Res,Resident/Fellow/PA/NP
14551,RD,Dietitian
14552,MD,Resident/Fellow/PA/NP
14553,MD,Not Specified
14554,MDs,Resident/Fellow/PA/NP
14555,CoWkr,Not Specified
14556,RO,Read Only
14557,RO,Read Only
14558,MD,Not Specified
14559,RPh,Not Specified
14560,Res,Resident/Fellow/PA/NP
14561,PCT,PCT/NA
14562,RN,Not Specified
14563,Rehab,Rehabilitation
14564,RO,Read Only
14565,RN,RN
14566,Rehab,Rehabilitation
14567,MD,Attending
14568,Res,Resident/Fellow/PA/NP
14569,RO,Read Only
14570,Res,Resident/Fellow/PA/NP
14571,PCT,PCT/NA
14572,Res,Resident/Fellow/PA/NP
14573,MD,Attending
14574,Res,Resident/Fellow/PA/NP
14575,Res,Resident/Fellow/PA/NP
14576,RN,RN
14577,Res,Resident/Fellow/PA/NP
14578,MD,Attending
14579,RO,Read Only
14580,Res,Resident/Fellow/PA/NP
14581,MD,Not Specified
14582,Res,Resident/Fellow/PA/NP
14583,RO,Read Only
14584,RN,RN
14585,Res,Resident/Fellow/PA/NP
14586,MD,Not Specified
14587,Res,Resident/Fellow/PA/NP
14588,RN,RN
14589,RO,Read Only
14590,RO,Read Only
14591,RO,Read Only
14592,UCO,UCO
14593,MD,Not Specified
14594,Res,Resident/Fellow/PA/NP
14595,Res,Resident/Fellow/PA/NP
14596,RO,Read Only
14597,RN,RN
14598,RNC,Read Only
14599,RO,Read Only
14600,RN,Not Specified
14601,RO,Read Only
14602,MDs,Resident/Fellow/PA/NP
14603,NEOB,UCO
14604,RN,Not Specified
14605,RN,RN
14606,RN,RN
14607,RN,RN
14608,RN,Not Specified
14609,RN,Not Specified
14610,RO,Read Only
14611,Res,Resident/Fellow/PA/NP
14612,RT,Respiratory
14613,MD,Read Only
14614,Res,Resident/Fellow/PA/NP
14615,Res,Resident/Fellow/PA/NP
14616,Res,Resident/Fellow/PA/NP
14617,Rehab,Rehabilitation
14618,Res,Resident/Fellow/PA/NP
14619,Res,Resident/Fellow/PA/NP
14620,MD,Attending
14621,RD,Dietitian
14622,UCO,UCO
14623,CM,Case Manager
14624,Res,Resident/Fellow/PA/NP
14625,Rn,RN
14626,RN,RN
14627,ISSupp,Administrator
14628,RO,Read Only
14629,MD,Resident/Fellow/PA/NP
14630,RRts,Not Specified
14631,PCT,PCT/NA
14632,RPH,Pharmacist
14633,RO,Read Only
14634,RO,Read Only
14635,RT,Respiratory
14636,RO,Read Only
14637,MD,Attending
14638,RN,RN
14639,Res,Resident/Fellow/PA/NP
14640,RN,RN
14641,Rehab,Rehabilitation
14642,RT,Respiratory
14643,Res,Resident/Fellow/PA/NP
14644,Res,Resident/Fellow/PA/NP
14645,RD,Dietitian
14646,Res,Resident/Fellow/PA/NP
14647,Rehab,Rehabilitation
14648,Res,Resident/Fellow/PA/NP
14649,Res,Resident/Fellow/PA/NP
14650,PCT,PCT/NA
14651,Res,Resident/Fellow/PA/NP
14652,Res,Resident/Fellow/PA/NP
14653,RO,Read Only
14654,Res,Resident/Fellow/PA/NP
14655,RT,Respiratory
14656,Res,Resident/Fellow/PA/NP
14657,RN,RN
14658,RN,Not Specified
14659,MD,Attending
14660,RO,Read Only
14661,RO,Read Only
14662,MDs,Resident/Fellow/PA/NP
14663,MD,Not Specified
14664,MD,Read Only
14665,MD,Not Specified
14666,Res,Resident/Fellow/PA/NP
14667,MD,Read Only
14668,RO,Read Only
14669,RO,Read Only
14670,MD,Not Specified
14671,RO,Read Only
14672,RO,Read Only
14673,MDs,Resident/Fellow/PA/NP
14674,Studen,Not Specified
14675,MDs,Resident/Fellow/PA/NP
14676,Res,Resident/Fellow/PA/NP
14677,Res,Resident/Fellow/PA/NP
14678,RN,RN
14679,Res,Resident/Fellow/PA/NP
14680,MD,Resident/Fellow/PA/NP
14681,Res,Resident/Fellow/PA/NP
14682,Res,Resident/Fellow/PA/NP
14683,RN,RN
14684,Res,Resident/Fellow/PA/NP
14685,Res,Resident/Fellow/PA/NP
14686,Res,Resident/Fellow/PA/NP
14687,SW,Social Worker
14688,Rehab,Rehabilitation
14689,UCO,UCO
14690,Res,Resident/Fellow/PA/NP
14691,Res,Resident/Fellow/PA/NP
14692,Rehab,Rehabilitation
14693,MD,Attending
14694,RO,Read Only
14695,RN,RN
14696,RO,Read Only
14697,MD,Not Specified
14698,RO,Read Only
14699,RO,Read Only
14700,RRT,Respiratory
14701,NP,Not Specified
14702,MD,Not Specified
14703,Res,Resident/Fellow/PA/NP
14704,Res,Resident/Fellow/PA/NP
14705,RO,Read Only
14706,RN,RN
14707,Rehab,Rehabilitation
14708,MD,Read Only
14709,Res,Resident/Fellow/PA/NP
14710,RN,RN
14711,RO,Read Only
14712,RN,Not Specified
14713,RO,Read Only
14714,RN,RN
14715,MD,Not Specified
14716,RN,Not Specified
14717,RN,Not Specified
14718,MDs,Resident/Fellow/PA/NP
14719,RN,RN
14720,LICSW,Not Specified
14721,RN,Read Only
14722,MD,Read Only
14723,U A,Not Specified
14724,RO,Read Only
14725,RN,Not Specified
14726,RN,Not Specified
14727,Res,Resident/Fellow/PA/NP
14728,Res,Resident/Fellow/PA/NP
14729,Res,Resident/Fellow/PA/NP
14730,MD,Not Specified
14731,Res,Resident/Fellow/PA/NP
14732,RD,Dietitian
14733,MD,Not Specified
14734,StPHa,Not Specified
14735,Res,Resident/Fellow/PA/NP
14736,RN,RN
14737,Res,Resident/Fellow/PA/NP
14738,RPH,Pharmacist
14739,MD,Resident/Fellow/PA/NP
14740,RN,Not Specified
14741,MS,Not Specified
14742,RO,Read Only
14743,RRT,Not Specified
14744,Rehab,Rehabilitation
14745,Res,Resident/Fellow/PA/NP
14746,RO,Read Only
14747,Res,Resident/Fellow/PA/NP
14748,RO,Read Only
14749,Res,Resident/Fellow/PA/NP
14750,Res,Resident/Fellow/PA/NP
14751,RN,RN
14752,MD,Resident/Fellow/PA/NP
14753,RO,Read Only
14754,RO,Read Only
14755,RO,Read Only
14756,RO,Read Only
14757,RN,RN
14758,RN,RN
14759,RN,RN
14760,Rehab,Rehabilitation
14761,Res,Resident/Fellow/PA/NP
14762,RN,Not Specified
14763,RN,RN
14764,RD,Dietitian
14765,Res,Resident/Fellow/PA/NP
14766,Res,Resident/Fellow/PA/NP
14767,Res,Resident/Fellow/PA/NP
14768,RN,RN
14769,Res,Resident/Fellow/PA/NP
14770,MD,Resident/Fellow/PA/NP
14771,CoOPSt,Not Specified
14772,RN,RN
14773,NEOB,Not Specified
14774,RN,Not Specified
14775,Res,Resident/Fellow/PA/NP
14776,PCT,PCT/NA
14777,MD,Attending
14778,Res,Resident/Fellow/PA/NP
14779,SW,Social Worker
14780,MedStu,Not Specified
14781,MD,Attending
14782,Res,Resident/Fellow/PA/NP
14783,Rehab,Rehabilitation
14784,RN,RN
14785,Res,Resident/Fellow/PA/NP
14786,MD,Not Specified
14787,RN,RN
14788,Res,Resident/Fellow/PA/NP
14789,Rehab,Rehabilitation
14790,Res,Resident/Fellow/PA/NP
14791,RO,Read Only
14792,PCT,PCT/NA
14793,RO,Read Only
14794,MD,Resident/Fellow/PA/NP
14795,RO,Read Only
14796,RO,Read Only
14797,MD,Not Specified
14798,RPH,Pharmacist
14799,RA,Research Assistant
14800,MedStu,Not Specified
14801,RN,RN
14802,RN,RN
14803,Rehab,Rehabilitation
14804,RN,RN
14805,Res,Resident/Fellow/PA/NP
14806,RO,Read Only
14807,MD,Not Specified
14808,RO,Read Only
14809,RRT,Not Specified
14810,RO,Read Only
14811,RN,RN
14812,Res,Resident/Fellow/PA/NP
14813,RO,Read Only
14814,RO,Read Only
14815,RRT,Read Only
14816,RNC,Not Specified
14817,RN,Read Only
14818,RN,Not Specified
14819,RPh,Not Specified
14820,MS,Not Specified
14821,PT,Not Specified
14822,MD,Not Specified
14823,MD,Not Specified
14824,Rehab,Rehabilitation
14825,RO,Read Only
14826,MD,Not Specified
14827,MD,Not Specified
14828,RN,Read Only
14829,MDs,Read Only
14830,RO,Read Only
14831,Admin,Administrator
14832,RO,Read Only
14833,MD,Resident/Fellow/PA/NP
14834,RN,Not Specified
14835,RO,Read Only
14836,RO,Read Only
14837,MD,Not Specified
14838,MD,Resident/Fellow/PA/NP
14839,MDs,Resident/Fellow/PA/NP
14840,MedSt,Not Specified
14841,RO,Read Only
14842,MS,Resident/Fellow/PA/NP
14843,MD,Not Specified
14844,MDs,Resident/Fellow/PA/NP
14845,RO,Read Only
14846,Intern,Resident/Fellow/PA/NP
14847,MDs,Not Specified
14848,MD,Not Specified
14849,RO,Read Only
14850,StNurs,Not Specified
14851,MD,Not Specified
14852,RO,Read Only
14853,Res,Resident/Fellow/PA/NP
14854,MD,Not Specified
14855,RN,Not Specified
14856,RO,Read Only
14857,PCA,Not Specified
14858,RO,Read Only
14859,RN,RN
14860,rn,Not Specified
14861,MD,Not Specified
14862,RRT,Not Specified
14863,RN,Not Specified
14864,MD,Not Specified
14865,RN,Not Specified
14866,MD,Not Specified
14867,MDs,Not Specified
14868,MD,Not Specified
14869,Res,Resident/Fellow/PA/NP
14870,RT,Respiratory
14871,Not Specified,Not Specified
14872,RN,Not Specified
14873,RO,Read Only
14874,RO,Read Only
14875,RO,Read Only
14876,Res,Resident/Fellow/PA/NP
14877,Res,Resident/Fellow/PA/NP
14878,Res,Resident/Fellow/PA/NP
14879,Res,Resident/Fellow/PA/NP
14880,RO,Read Only
14881,RT,Respiratory
14882,RO,Read Only
14883,Res,Resident/Fellow/PA/NP
14884,Res,Resident/Fellow/PA/NP
14885,UCO,UCO
14886,Res,Resident/Fellow/PA/NP
14887,MD,Not Specified
14888,MD,Not Specified
14889,CoWker,Not Specified
14890,Res,Resident/Fellow/PA/NP
14891,RN,RN
14892,MD,Read Only
14893,Res,Resident/Fellow/PA/NP
14894,Res,Resident/Fellow/PA/NP
14895,Res,Resident/Fellow/PA/NP
14896,MD,Not Specified
14897,Res,Resident/Fellow/PA/NP
14898,MD,Attending
14899,RT,Respiratory
14900,MD,Attending
14901,RN,RN
14902,Res,Resident/Fellow/PA/NP
14903,Res,Resident/Fellow/PA/NP
14904,RN,RN
14905,MD,Not Specified
14906,RN,RN
14907,Res,Resident/Fellow/PA/NP
14908,RO,Read Only
14909,Res,Resident/Fellow/PA/NP
14910,Res,Resident/Fellow/PA/NP
14911,MD,Attending
14912,MD,Attending
14913,RT,Respiratory
14914,Res,Resident/Fellow/PA/NP
14915,Res,Resident/Fellow/PA/NP
14916,RT,Respiratory
14917,Res,Resident/Fellow/PA/NP
14918,DI,Not Specified
14919,MD,Attending
14920,Res,Resident/Fellow/PA/NP
14921,MS,Not Specified
14922,RN,RN
14923,Rehab,Rehabilitation
14924,Res,Resident/Fellow/PA/NP
14925,MD,Not Specified
14926,SNP,Not Specified
14927,RN,Not Specified
14928,RO,Read Only
14929,RO,Read Only
14930,MD,Read Only
14931,RO,Read Only
14932,RO,Read Only
14933,Res,Resident/Fellow/PA/NP
14934,RN,RN
14935,MD,Attending
14936,RO,Read Only
14937,RO,Read Only
14938,ISOPS,Administrator
14939,RN,RN
14940,MD,Not Specified
14941,RO,Read Only
14942,RO,Read Only
14943,MD,Not Specified
14944,MD,Not Specified
14945,MD,Attending
14946,RN,RN
14947,Res,Resident/Fellow/PA/NP
14948,RRT,Read Only
14949,RN,RN
14950,MD,Not Specified
14951,SRT,Not Specified
14952,Res,Resident/Fellow/PA/NP
14953,RN,RN
14954,RN,RN
14955,Admin,Administrator
14956,Res,Resident/Fellow/PA/NP
14957,RN,Read Only
14958,MD,Not Specified
14959,RO,Read Only
14960,RO,Read Only
14961,Res,Resident/Fellow/PA/NP
14962,RN,Not Specified
14963,Res,Resident/Fellow/PA/NP
14964,MD,Not Specified
14965,Rehab,Rehabilitation
14966,RO,Read Only
14967,RN,Not Specified
14968,RN,Read Only
14969,RO,Read Only
14970,CoWker,Not Specified
14971,RN,Not Specified
14972,MD,Not Specified
14973,RN,RN
14974,RO,Read Only
14975,RO,Read Only
14976,Med ST,Not Specified
14977,PCT,PCT/NA
14978,MD,Not Specified
14979,ISSupp,Administrator
14980,RO,Read Only
14981,RO,Read Only
14982,RO,Read Only
14983,RPH,Pharmacist
14984,RO,Read Only
14985,RN,RN
14986,RN,RN
14987,RN,RN
14988,RN,RN
14989,RN,Not Specified
14990,RN,Not Specified
14991,CoWkr,Not Specified
14992,RN,RN
14993,RN,Not Specified
14994,CoWker,Not Specified
14995,RO,Read Only
14996,RN,Not Specified
14997,RN,RN
14998,RN,Not Specified
14999,MD,Not Specified
15000,RO,Read Only
15001,RN,RN
15002,RNC,Not Specified
15003,MD,Not Specified
15004,RN,RN
15005,PCA,Not Specified
15006,RO,Read Only
15007,MD,Read Only
15008,MD,Not Specified
15009,HMSIV,Not Specified
15010,MedSty,Not Specified
15011,MD,Not Specified
15012,RRT,Respiratory
15013,UA,Not Specified
15014,PCT,RN
15015,RO,Read Only
15016,UC,Not Specified
15017,RN,RN
15018,RN,Read Only
15019,RRT,Not Specified
15020,RN,Read Only
15021,RA,Research Assistant
15022,Res,Resident/Fellow/PA/NP
15023,RN,RN
15024,RN,Not Specified
15025,RN,RN
15026,RO,Read Only
15027,RN,Not Specified
15028,RO,Read Only
15029,RN,RN
15030,Res,Resident/Fellow/PA/NP
15031,RT,Respiratory
15032,RT,Respiratory
15033,Res,Resident/Fellow/PA/NP
15034,MD,Attending
15035,Res,Resident/Fellow/PA/NP
